,Time,Close,Open,High,Low,v,vo
0,2020-04-01T09:15:00+0530,8542.4501953125,8584.7998046875,8584.7998046875,8528.4501953125,0,0
1,2020-04-01T09:16:00+0530,8509.75,8537.349609375,8537.349609375,8507.349609375,0,0
2,2020-04-01T09:17:00+0530,8507.5498046875,8509.7998046875,8514.849609375,8507.5498046875,0,0
3,2020-04-01T09:18:00+0530,8496.4501953125,8507.2998046875,8507.2998046875,8488.2998046875,0,0
4,2020-04-01T09:19:00+0530,8509.900390625,8498.5498046875,8512.2998046875,8494.5,0,0
5,2020-04-01T09:20:00+0530,8497.400390625,8508.150390625,8508.150390625,8497.400390625,0,0
6,2020-04-01T09:21:00+0530,8488.900390625,8497.150390625,8500.0,8487.349609375,0,0
7,2020-04-01T09:22:00+0530,8481.7001953125,8487.75,8487.75,8478.650390625,0,0
8,2020-04-01T09:23:00+0530,8487.900390625,8482.400390625,8494.849609375,8482.2001953125,0,0
9,2020-04-01T09:24:00+0530,8490.0498046875,8494.7001953125,8494.7001953125,8478.5,0,0
10,2020-04-01T09:25:00+0530,8480.4501953125,8490.2998046875,8492.900390625,8479.9501953125,0,0
11,2020-04-01T09:26:00+0530,8471.349609375,8479.25,8479.900390625,8471.349609375,0,0
12,2020-04-01T09:27:00+0530,8473.0,8470.7001953125,8480.5,8469.5,0,0
13,2020-04-01T09:28:00+0530,8468.7001953125,8471.849609375,8471.849609375,8462.75,0,0
14,2020-04-01T09:29:00+0530,8473.150390625,8466.349609375,8473.150390625,8466.349609375,0,0
15,2020-04-01T09:30:00+0530,8455.849609375,8473.0498046875,8473.0498046875,8455.849609375,0,0
16,2020-04-01T09:31:00+0530,8443.25,8454.849609375,8454.849609375,8442.4501953125,0,0
17,2020-04-01T09:32:00+0530,8444.7001953125,8441.2998046875,8445.400390625,8438.0,0,0
18,2020-04-01T09:33:00+0530,8447.2001953125,8443.7001953125,8447.2001953125,8442.4501953125,0,0
19,2020-04-01T09:34:00+0530,8443.75,8442.849609375,8447.75,8441.099609375,0,0
20,2020-04-01T09:35:00+0530,8433.349609375,8440.599609375,8441.0,8427.2001953125,0,0
21,2020-04-01T09:36:00+0530,8440.349609375,8436.0,8445.0498046875,8436.0,0,0
22,2020-04-01T09:37:00+0530,8446.2998046875,8438.2001953125,8446.849609375,8434.099609375,0,0
23,2020-04-01T09:38:00+0530,8445.4501953125,8443.0498046875,8447.400390625,8442.099609375,0,0
24,2020-04-01T09:39:00+0530,8446.7998046875,8449.900390625,8455.849609375,8446.7998046875,0,0
25,2020-04-01T09:40:00+0530,8434.900390625,8445.4501953125,8447.7001953125,8434.900390625,0,0
26,2020-04-01T09:41:00+0530,8421.25,8436.2998046875,8436.2998046875,8420.9501953125,0,0
27,2020-04-01T09:42:00+0530,8421.2001953125,8420.5498046875,8422.0498046875,8417.099609375,0,0
28,2020-04-01T09:43:00+0530,8420.099609375,8420.0498046875,8420.400390625,8417.150390625,0,0
29,2020-04-01T09:44:00+0530,8413.75,8425.75,8425.75,8413.75,0,0
30,2020-04-01T09:45:00+0530,8407.75,8414.0,8414.0,8405.400390625,0,0
31,2020-04-01T09:46:00+0530,8416.599609375,8408.849609375,8417.75,8408.849609375,0,0
32,2020-04-01T09:47:00+0530,8397.0,8415.25,8415.25,8397.0,0,0
33,2020-04-01T09:48:00+0530,8384.5498046875,8394.849609375,8400.25,8384.5498046875,0,0
34,2020-04-01T09:49:00+0530,8392.349609375,8386.599609375,8395.900390625,8385.150390625,0,0
35,2020-04-01T09:50:00+0530,8391.150390625,8389.599609375,8400.0,8389.599609375,0,0
36,2020-04-01T09:51:00+0530,8376.099609375,8390.900390625,8390.900390625,8375.099609375,0,0
37,2020-04-01T09:52:00+0530,8366.7001953125,8378.4501953125,8380.0498046875,8366.7001953125,0,0
38,2020-04-01T09:53:00+0530,8382.2001953125,8369.400390625,8382.2001953125,8365.849609375,0,0
39,2020-04-01T09:54:00+0530,8358.150390625,8381.0,8381.25,8358.150390625,0,0
40,2020-04-01T09:55:00+0530,8375.7001953125,8363.5,8375.75,8363.150390625,0,0
41,2020-04-01T09:56:00+0530,8373.9501953125,8375.7001953125,8378.5,8372.400390625,0,0
42,2020-04-01T09:57:00+0530,8392.5498046875,8376.400390625,8393.599609375,8376.400390625,0,0
43,2020-04-01T09:58:00+0530,8390.9501953125,8392.2001953125,8392.2001953125,8385.0,0,0
44,2020-04-01T09:59:00+0530,8401.9501953125,8392.900390625,8405.099609375,8392.900390625,0,0
45,2020-04-01T10:00:00+0530,8392.900390625,8401.9501953125,8401.9501953125,8392.900390625,0,0
46,2020-04-01T10:01:00+0530,8381.9501953125,8389.900390625,8389.900390625,8381.9501953125,0,0
47,2020-04-01T10:02:00+0530,8388.5498046875,8381.5498046875,8389.0498046875,8380.7001953125,0,0
48,2020-04-01T10:03:00+0530,8401.0,8389.349609375,8401.0,8389.0,0,0
49,2020-04-01T10:04:00+0530,8401.150390625,8401.4501953125,8401.9501953125,8400.0498046875,0,0
50,2020-04-01T10:45:00+0530,8343.650390625,8343.650390625,8343.650390625,8343.650390625,0,0
51,2020-04-01T10:46:00+0530,8333.5,8333.5,8333.5,8333.5,0,0
52,2020-04-01T10:47:00+0530,8328.650390625,8328.650390625,8328.650390625,8328.650390625,0,0
53,2020-04-01T10:48:00+0530,8329.900390625,8329.900390625,8329.900390625,8329.900390625,0,0
54,2020-04-01T10:49:00+0530,8331.900390625,8331.900390625,8331.900390625,8331.900390625,0,0
55,2020-04-01T10:50:00+0530,8340.599609375,8340.599609375,8340.599609375,8340.599609375,0,0
56,2020-04-01T10:51:00+0530,8328.7998046875,8328.7998046875,8328.7998046875,8328.7998046875,0,0
57,2020-04-01T10:52:00+0530,8313.9501953125,8313.9501953125,8313.9501953125,8313.9501953125,0,0
58,2020-04-01T10:53:00+0530,8311.0,8311.0,8311.0,8311.0,0,0
59,2020-04-01T10:54:00+0530,8322.150390625,8322.150390625,8322.150390625,8322.150390625,0,0
60,2020-04-01T10:55:00+0530,8314.0,8314.0,8314.0,8314.0,0,0
61,2020-04-01T10:56:00+0530,8314.400390625,8314.400390625,8314.400390625,8314.400390625,0,0
62,2020-04-01T10:57:00+0530,8317.900390625,8319.349609375,8319.349609375,8311.650390625,0,0
63,2020-04-01T10:58:00+0530,8318.4501953125,8318.75,8318.75,8318.4501953125,0,0
64,2020-04-01T11:00:00+0530,8300.5,8304.400390625,8304.400390625,8300.5,0,0
65,2020-04-01T11:01:00+0530,8293.2998046875,8301.150390625,8301.150390625,8290.4501953125,0,0
66,2020-04-01T11:02:00+0530,8279.900390625,8292.5498046875,8294.75,8277.849609375,0,0
67,2020-04-01T11:03:00+0530,8291.2998046875,8281.2998046875,8291.2998046875,8281.2998046875,0,0
68,2020-04-01T11:04:00+0530,8294.349609375,8293.75,8298.5498046875,8293.5498046875,0,0
69,2020-04-01T11:05:00+0530,8309.7998046875,8293.5498046875,8309.7998046875,8293.5498046875,0,0
70,2020-04-01T11:06:00+0530,8306.5498046875,8309.849609375,8312.2998046875,8305.900390625,0,0
71,2020-04-01T11:07:00+0530,8309.75,8305.7998046875,8309.75,8305.7998046875,0,0
72,2020-04-01T11:08:00+0530,8300.849609375,8307.900390625,8308.0,8296.599609375,0,0
73,2020-04-01T11:09:00+0530,8287.650390625,8300.5498046875,8300.7001953125,8287.650390625,0,0
74,2020-04-01T11:10:00+0530,8289.150390625,8287.2001953125,8289.150390625,8281.099609375,0,0
75,2020-04-01T11:11:00+0530,8286.7998046875,8290.0498046875,8297.0,8286.7998046875,0,0
76,2020-04-01T11:12:00+0530,8276.7001953125,8286.2001953125,8286.2001953125,8276.7001953125,0,0
77,2020-04-01T11:13:00+0530,8279.900390625,8276.849609375,8281.0,8275.0,0,0
78,2020-04-01T11:14:00+0530,8274.7001953125,8279.349609375,8279.349609375,8272.400390625,0,0
79,2020-04-01T11:15:00+0530,8284.75,8274.349609375,8285.0498046875,8272.650390625,0,0
80,2020-04-01T11:16:00+0530,8283.25,8284.9501953125,8284.9501953125,8282.2001953125,0,0
81,2020-04-01T11:17:00+0530,8285.900390625,8285.099609375,8292.5498046875,8285.099609375,0,0
82,2020-04-01T11:18:00+0530,8294.099609375,8288.349609375,8297.5,8288.349609375,0,0
83,2020-04-01T11:19:00+0530,8283.650390625,8290.7001953125,8290.7001953125,8283.650390625,0,0
84,2020-04-01T11:20:00+0530,8293.849609375,8282.900390625,8296.2001953125,8282.900390625,0,0
85,2020-04-01T11:21:00+0530,8293.7001953125,8292.5498046875,8294.75,8292.5498046875,0,0
86,2020-04-01T11:22:00+0530,8286.0,8293.7998046875,8294.5498046875,8286.0,0,0
87,2020-04-01T11:23:00+0530,8299.7001953125,8287.599609375,8305.599609375,8287.25,0,0
88,2020-04-01T11:24:00+0530,8300.900390625,8298.5498046875,8301.599609375,8298.5498046875,0,0
89,2020-04-01T11:25:00+0530,8308.900390625,8300.7998046875,8310.650390625,8300.7998046875,0,0
90,2020-04-01T11:26:00+0530,8299.849609375,8308.099609375,8308.099609375,8299.849609375,0,0
91,2020-04-01T11:27:00+0530,8314.400390625,8302.25,8316.75,8301.400390625,0,0
92,2020-04-01T11:28:00+0530,8306.4501953125,8314.349609375,8317.9501953125,8306.4501953125,0,0
93,2020-04-01T11:29:00+0530,8309.0,8306.849609375,8313.25,8305.849609375,0,0
94,2020-04-01T11:30:00+0530,8308.400390625,8309.5,8309.5,8303.0498046875,0,0
95,2020-04-01T11:31:00+0530,8299.5,8306.7998046875,8307.2001953125,8299.5,0,0
96,2020-04-01T11:32:00+0530,8307.7001953125,8299.599609375,8307.7001953125,8299.599609375,0,0
97,2020-04-01T11:33:00+0530,8302.349609375,8307.0498046875,8307.349609375,8301.599609375,0,0
98,2020-04-01T11:34:00+0530,8294.349609375,8300.7998046875,8300.7998046875,8294.25,0,0
